ConceptSetId	codeCategory	Name	conceptId	conceptCode	conceptName	vocabulary
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	4079735	239806000	Juvenile spondyloarthropathy	SNOMED
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	4083681	239805001	Juvenile ankylosing spondylitis	SNOMED
0	dx.autoimmune.subphenotype1	Arthritis: Ankylosing spondylitis	437082	9631008	Ankylosing spondylitis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	1567888	D86	Sarcoidosis	ICD10CM
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	1567888	D86	Sarcoidosis	ICD10CM
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	44822863	135	Sarcoidosis	ICD9CM
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	44822863	135	Sarcoidosis	ICD9CM
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4006973	111292008	Necrotizing sarcoid granulomatosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4008088	111936002	Cerebral sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4008735	111937006	Sarcoidosis, nodular type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4031156	238677004	Maculopapular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033216	238679001	Sarcoidosis in scar	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033330	238680003	Papular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033803	238674006	Acute skin sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033804	238678009	Chronic skin sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033805	238681004	Lichenoid sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4045980	230193008	Neurosarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4051482	232368009	Nasal sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4051616	232458003	Laryngeal sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4058697	197368002	Hepatic granulomas in sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4066395	17363001	Splenic sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4072323	21787007	Sarcoidosis, Darier-Roussy type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4086243	24369008	Pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4093002	187233002	Sarcoidosis of lung with sarcoidosis of lymph nodes	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4105018	193195000	Sarcoid neuropathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4105025	193251003	Sarcoid myopathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4111541	195033009	Sarcoid heart muscle disease	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119448	233769008	Stage 3 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119929	233744008	Hilar lymph node sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119935	233770009	Stage 4 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119936	233772001	Sarcoid pulmonary calcification	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4120273	233743002	Mediastinal lymph node sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4121276	234530009	Chronic sarcoid myopathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4121277	234531008	Orofacial sarcoid	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4123081	234526006	Ocular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4123082	234528007	Nasopharyngeal sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4124546	233767005	Stage 1 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4124671	233768000	Stage 2 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4124672	233771008	Endobronchial sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4125661	234524009	Sarcoid dactylitis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4125792	234527002	Lacrimal and parotid gland sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4125793	234529004	Acute sarcoid polymyositis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4149473	310607007	Sarcoidosis of inferior turbinates	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4185066	54515008	Sarcoidosis, plaque type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4185547	55941000	Cutaneous sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4185737	4416007	Heerfordt's syndrome	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4214896	80941006	Subcutaneous sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4216556	72470008	Sarcoidosis, lupus pernio type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4235583	91259005	Sarcoidosis, angiolupoid type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4243336	58870009	Sarcoidosis, anular type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4270858	402373002	Hypomelanotic sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4274184	64757003	Lymph node sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4290339	37061001	Granulomatous sarcoid nephropathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4292359	402368008	Ichthyosiform sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4292360	402370004	Ulcerative sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4297510	402369000	Atrophic sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4297511	402371000	Verrucous sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4297642	402372007	Subcutaneous nodular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4312366	425384007	Sarcoidosis with glomerulonephritis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4316078	9529007	Sarcoidosis, erythrodermic type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4326751	75403004	Cardiac sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4334723	231799005	Sarcoid skin of eyelid	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	438688	31541009	Sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	44783637	697921005	Pulmonary hypertension in sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	45768742	707238003	Sarcoidosis of oral cavity	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4185737	4416007	Heerfordt's syndrome	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4316078	9529007	Sarcoidosis, erythrodermic type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4066395	17363001	Splenic sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4072323	21787007	Sarcoidosis, Darier-Roussy type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4086243	24369008	Pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	438688	31541009	Sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4290339	37061001	Granulomatous sarcoid nephropathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4185066	54515008	Sarcoidosis, plaque type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4185547	55941000	Cutaneous sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4243336	58870009	Sarcoidosis, anular type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4274184	64757003	Lymph node sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4216556	72470008	Sarcoidosis, lupus pernio type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4326751	75403004	Cardiac sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4214896	80941006	Subcutaneous sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4235583	91259005	Sarcoidosis, angiolupoid type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4006973	111292008	Necrotizing sarcoid granulomatosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4008088	111936002	Cerebral sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4008735	111937006	Sarcoidosis, nodular type	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4093002	187233002	Sarcoidosis of lung with sarcoidosis of lymph nodes	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4105018	193195000	Sarcoid neuropathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4105025	193251003	Sarcoid myopathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4111541	195033009	Sarcoid heart muscle disease	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4058697	197368002	Hepatic granulomas in sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4045980	230193008	Neurosarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4334723	231799005	Sarcoid skin of eyelid	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4051482	232368009	Nasal sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4051616	232458003	Laryngeal sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4120273	233743002	Mediastinal lymph node sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119929	233744008	Hilar lymph node sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4124546	233767005	Stage 1 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4124671	233768000	Stage 2 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119448	233769008	Stage 3 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119935	233770009	Stage 4 pulmonary sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4124672	233771008	Endobronchial sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4119936	233772001	Sarcoid pulmonary calcification	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4125661	234524009	Sarcoid dactylitis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4123081	234526006	Ocular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4125792	234527002	Lacrimal and parotid gland sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4123082	234528007	Nasopharyngeal sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4125793	234529004	Acute sarcoid polymyositis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4121276	234530009	Chronic sarcoid myopathy	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4121277	234531008	Orofacial sarcoid	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033803	238674006	Acute skin sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4031156	238677004	Maculopapular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033804	238678009	Chronic skin sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033216	238679001	Sarcoidosis in scar	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033330	238680003	Papular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4033805	238681004	Lichenoid sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4149473	310607007	Sarcoidosis of inferior turbinates	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4292359	402368008	Ichthyosiform sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4297510	402369000	Atrophic sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4292360	402370004	Ulcerative sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4297511	402371000	Verrucous sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4297642	402372007	Subcutaneous nodular sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4270858	402373002	Hypomelanotic sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	4312366	425384007	Sarcoidosis with glomerulonephritis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	44783637	697921005	Pulmonary hypertension in sarcoidosis	SNOMED
10	dx.autoimmune.subphenotype10	Connective: Sarcoidosis	45768742	707238003	Sarcoidosis of oral cavity	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	1570619	M34	Systemic sclerosis [scleroderma]	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	1570620	M34.8	Other forms of systemic sclerosis	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208828	M34.0	Progressive systemic sclerosis	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208829	M34.1	CR(E)ST syndrome	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208831	M34.9	Systemic sclerosis, unspecified	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208839	M35.8	Other specified systemic involvement of connective tissue	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208840	M35.9	Systemic involvement of connective tissue, unspecified	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	45572448	M34.89	Other systemic sclerosis	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	45596565	M34.81	Systemic sclerosis with lung involvement	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	1570619	M34	Systemic sclerosis [scleroderma]	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208828	M34.0	Progressive systemic sclerosis	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208829	M34.1	CR(E)ST syndrome	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	1570620	M34.8	Other forms of systemic sclerosis	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	45596565	M34.81	Systemic sclerosis with lung involvement	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	45572448	M34.89	Other systemic sclerosis	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208831	M34.9	Systemic sclerosis, unspecified	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208839	M35.8	Other specified systemic involvement of connective tissue	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	35208840	M35.9	Systemic involvement of connective tissue, unspecified	ICD10CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	44832613	710.1	Systemic sclerosis	ICD9CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	44837143	517.2	Lung involvement in systemic sclerosis	ICD9CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	44837143	517.2	Lung involvement in systemic sclerosis	ICD9CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	44832613	710.1	Systemic sclerosis	ICD9CM
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	134442	89155008	Systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	255304	196133001	Lung disease with systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	37397763	89681000119101	Scleroderma co-occurrent and due to glomerulonephritis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	37399445	715401008	Reynolds syndrome	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4027230	128461001	Systemic sclerosis sine scleroderma	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4027727	128460000	Systemic sclerosis, diffuse	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	40483692	443872005	Systemic sclerosis due to chemical	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	40485046	444133002	Progressive systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4063582	201443009	Systemic sclerosis induced by drugs and chemicals	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4103019	299276009	Limited systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4126439	236503001	Acute scleroderma renal crisis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4128222	236502006	Renal involvement in scleroderma	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4135937	31848007	CREST syndrome	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4185187	298285004	Systemic sclerosis with limited cutaneous involvement	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4266527	62382002	CRST syndrome	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4291432	402712002	Occupational scleroderma	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4343927	239903007	Scleroderma with multisystem involvement	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4344162	239902002	Scleroderma with organ / system involvement	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4135937	31848007	CREST syndrome	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4266527	62382002	CRST syndrome	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	134442	89155008	Systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4027727	128460000	Systemic sclerosis, diffuse	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4027230	128461001	Systemic sclerosis sine scleroderma	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	255304	196133001	Lung disease with systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4063582	201443009	Systemic sclerosis induced by drugs and chemicals	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4128222	236502006	Renal involvement in scleroderma	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4126439	236503001	Acute scleroderma renal crisis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4344162	239902002	Scleroderma with organ / system involvement	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4343927	239903007	Scleroderma with multisystem involvement	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4185187	298285004	Systemic sclerosis with limited cutaneous involvement	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4103019	299276009	Limited systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	4291432	402712002	Occupational scleroderma	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	40483692	443872005	Systemic sclerosis due to chemical	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	40485046	444133002	Progressive systemic sclerosis	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	37399445	715401008	Reynolds syndrome	SNOMED
11	dx.autoimmune.subphenotype11	Connective: Scleroderma	37397763	89681000119101	Scleroderma co-occurrent and due to glomerulonephritis	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	1570622	M35.0	Sicca syndrome [Sjogren]	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45533829	M35.01	Sicca syndrome with keratoconjunctivitis	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45548403	M35.00	Sicca syndrome, unspecified	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45557866	M35.04	Sicca syndrome with tubulo-interstitial nephropathy	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45557867	M35.09	Sicca syndrome with other organ involvement	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45577246	M35.02	Sicca syndrome with lung involvement	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45577247	M35.03	Sicca syndrome with myopathy	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	1570622	M35.0	Sicca syndrome [Sjogren]	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45548403	M35.00	Sicca syndrome, unspecified	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45533829	M35.01	Sicca syndrome with keratoconjunctivitis	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45577246	M35.02	Sicca syndrome with lung involvement	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45577247	M35.03	Sicca syndrome with myopathy	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45557866	M35.04	Sicca syndrome with tubulo-interstitial nephropathy	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	45557867	M35.09	Sicca syndrome with other organ involvement	ICD10CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	44828021	710.2	Sicca syndrome	ICD9CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	44828021	710.2	Sicca syndrome	ICD9CM
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	254443	83901003	Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4055370	196137000	Lung disease with Sjogren's disease	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4130853	126766000	Lymphoepithelial sialadenitis of Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4193620	78946008	Keratoconjunctivitis sicca, in Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4344487	239913004	Primary Sjogren's syndrome with organ/system involvement	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4344488	239914005	Primary Sjogren's syndrome with multisystem involvement	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4347058	239912009	Primary Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4193620	78946008	Keratoconjunctivitis sicca, in Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	254443	83901003	Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4130853	126766000	Lymphoepithelial sialadenitis of Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4055370	196137000	Lung disease with Sjogren's disease	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4347058	239912009	Primary Sjogren's syndrome	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4344487	239913004	Primary Sjogren's syndrome with organ/system involvement	SNOMED
12	dx.autoimmune.subphenotype12	Connective: Sjogren's syndrome	4344488	239914005	Primary Sjogren's syndrome with multisystem involvement	SNOMED
