algVarNm	conceptCode	conceptName	concept_id	standard_concept_id	standard_concept_code	standard_concept_name	standard_vocabulary_id	standard_domain_id	standard_algVarNm
dx.CkdEsrd_Dialysis.icd9	V56.0	Encounter for extracorporeal dialysis	44829649	4032243	108241001	Dialysis procedure	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56.1	Fitting and adjustment of extracorporeal dialysis catheter	44829650	4247794	73257006	Peritoneal dialysis catheter maintenance	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56.2	Fitting and adjustment of peritoneal dialysis catheter	44833130	4247794	73257006	Peritoneal dialysis catheter maintenance	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56.3	Encounter for adequacy testing for dialysis	44833131	4268532	365399009	Adequacy of dialysis - finding	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56.31	Encounter for adequacy testing for hemodialysis	44835496	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56.32	Encounter for adequacy testing for peritoneal dialysis	44835497	4203722	308335008	Patient encounter procedure	SNOMED	Observation	obsn.CkdEsrd_Dialysis.omop
dx.CkdEsrd_Dialysis.icd9	V56.8	Encounter for other dialysis	44821578	4032243	108241001	Dialysis procedure	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
dx.CkdEsrd_kidneyTransplant.icd10	T86.1	Complications of kidney transplant	1575308	199991	58797008	Disorder of transplanted kidney	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	T86.10	Unspecified complication of kidney transplant	45546763	199991	58797008	Disorder of transplanted kidney	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	T86.11	Kidney transplant rejection	45609393	4128369	236570004	Renal transplant rejection	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	T86.12	Kidney transplant failure	45599829	4127554	236583003	Failed renal transplant	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	T86.13	Kidney transplant infection	45575625	199991	58797008	Disorder of transplanted kidney	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	T86.19	Other complication of kidney transplant	45537090	199991	58797008	Disorder of transplanted kidney	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	Z48.22	Encounter for aftercare following kidney transplant	45595522	4081759	183655000	Transplant follow-up	SNOMED	Observation	obsn.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd10	Z94.0	Kidney transplant status	35225404	42539502	737295003	Transplanted kidney present	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd9	996.81	Complications of transplanted kidney	44836487	199991	58797008	Disorder of transplanted kidney	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
dx.CkdEsrd_kidneyTransplant.icd9	V42.0	Kidney replaced by transplant	44821546	42539502	737295003	Transplanted kidney present	SNOMED	Condition	cond.CkdEsrd_kidneyTransplant.omop
lab.ptHeight.loinc.cmInch	3137-7	Body height Measured	3023540	3023540	3137-7	Body height Measured	LOINC	Measurement	meas.ptHeight.omop.cmInch
lab.ptHeight.loinc.cmInch	3138-5	Body height Stated	3019171	3019171	3138-5	Body height Stated	LOINC	Measurement	meas.ptHeight.omop.cmInch
lab.ptHeight.loinc.cmInch	8301-4	Body height Estimated	3035463	3035463	8301-4	Body height Estimated	LOINC	Measurement	meas.ptHeight.omop.cmInch
lab.ptHeight.loinc.cmInch	8302-2	Body height	3036277	3036277	8302-2	Body height	LOINC	Measurement	meas.ptHeight.omop.cmInch
lab.serumCreatinine.loinc	11041-1	Creatinine [Mass/volume] in Serum or Plasma --post dialysis	3018968	3018968	11041-1	Creatinine [Mass/volume] in Serum or Plasma --post dialysis	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	11042-9	Creatinine [Mass/volume] in Serum or Plasma --pre dialysis	3022243	3022243	11042-9	Creatinine [Mass/volume] in Serum or Plasma --pre dialysis	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	14682-9	Creatinine [Moles/volume] in Serum or Plasma	3020564	3020564	14682-9	Creatinine [Moles/volume] in Serum or Plasma	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	2160-0	Creatinine [Mass/volume] in Serum or Plasma	3016723	3016723	2160-0	Creatinine [Mass/volume] in Serum or Plasma	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	35203-9	Creatinine [Mass or Moles/volume] in Serum or Plasma	3032033	4013964	113075003	Creatinine measurement, serum	SNOMED	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	40248-7	Creatinine [Mass/volume] in Serum or Plasma --baseline	3041716	3041716	40248-7	Creatinine [Mass/volume] in Serum or Plasma --baseline	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	40264-4	Creatinine [Moles/volume] in Serum or Plasma --baseline	3041735	3041735	40264-4	Creatinine [Moles/volume] in Serum or Plasma --baseline	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	54052-6	HEDIS 2009 Codes to identify physiologic monitoring tests - Serum creatinine (SCr) (MPM-A)	3050951	4013964	113075003	Creatinine measurement, serum	SNOMED	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	57811-2	HEDIS 2010,2011 Codes to identify physiologic monitoring tests - Serum creatinine (SCr) (MPM-A)	40760920	4013964	113075003	Creatinine measurement, serum	SNOMED	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	67764-1	HEDIS 2012, 2013 Codes to identify physiologic monitoring tests - Serum creatinine (SCr) (MPM-A)	40770372	4013964	113075003	Creatinine measurement, serum	SNOMED	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	72271-0	Creatinine [Mass/volume] in Serum or Plasma --pre contrast	43055236	43055236	72271-0	Creatinine [Mass/volume] in Serum or Plasma --pre contrast	LOINC	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	74256-9	HEDIS 2014-2019 Value Set - Serum Creatinine	44786911	4013964	113075003	Creatinine measurement, serum	SNOMED	Measurement	meas.serumCreatinine.omop
lab.serumCreatinine.loinc	77140-2	Creatinine [Moles/volume] in Serum, Plasma or Blood	46235076	46235076	77140-2	Creatinine [Moles/volume] in Serum, Plasma or Blood	LOINC	Measurement	meas.serumCreatinine.omop
proc.CkdEsrd_Dialysis.cpt4	0505F	Hemodialysis plan of care documented (ESRD, P-ESRD)	2101833	2101833	0505F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	0507F	Peritoneal dialysis plan of care documented (ESRD)	2101834	2101834	0507F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	3066F	Documentation of treatment for nephropathy (eg, patient receiving dialysis, patient being treated for ESRD, CRF, ARF, or renal insufficiency, any visit to a nephrologist) (DM)	2106278	2106278	3066F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36145	Introduction of needle or intracatheter; arteriovenous shunt created for dialysis (cannula, fistula, or graft)	42736574	42736574	36145		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36800	Insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein	2108276	2108276	36800		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36810	Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type)	2108277	2108277	36810		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36831	Thrombectomy, open, arteriovenous fistula without revision, autogenous or nonautogenous dialysis graft (separate procedure)	2108297	2108297	36831		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36833	Revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)	2108299	2108299	36833		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36838	Distal revascularization and interval ligation (DRIL), upper extremity hemodialysis access (steal syndrome)	2108302	2108302	36838		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36901	Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis	42628575	42628575	36901		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36902	Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis	42627979	42627979	36902		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36903	Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis	42628018	42628018	36903		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36904	Percutaneous transluminal mechanical thrombectomy and/or infusion for thrombolysis, dialysis circuit, any method, including all imaging and radiological supervision and interpretation, diagnostic angiography, fluoroscopic guidance, catheter placement(s),	42628576	42628576	36904		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36907	Transluminal balloon angioplasty, central dialysis segment, performed through dialysis circuit, including all imaging and radiological supervision and interpretation required to perform the angioplasty (List separately in addition to code for primary proc	42628058	42628058	36907		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	36908	Transcatheter placement of intravascular stent(s), central dialysis segment, performed through dialysis circuit, including all imaging and radiological supervision and interpretation required to perform the stenting, and all angioplasty in the central dia	42628580	42628580	36908		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	4052F	Hemodialysis via functioning arteriovenous (AV) fistula (ESRD)	2108564	2108564	4052F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	4053F	Hemodialysis via functioning arteriovenous (AV) graft (ESRD)	2108566	2108566	4053F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	4054F	Hemodialysis via catheter (ESRD)	2108567	2108567	4054F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	4055F	Patient receiving peritoneal dialysis (ESRD)	2108568	2108568	4055F		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	49421	Insertion of tunneled intraperitoneal catheter for dialysis, open	2109463	2109463	49421		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90935	Hemodialysis procedure with single evaluation by a physician or other qualified health care professional	2213572	2213572	90935		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90937	Hemodialysis procedure requiring repeated evaluation(s) with or without substantial revision of dialysis prescription	2213573	2213573	90937		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90940	Hemodialysis access flow study to determine blood flow in grafts and arteriovenous fistulae by an indicator method	2213575	2213575	90940		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90945	Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a physician or other qualified health care professional	2213576	2213576	90945		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90947	Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies) requiring repeated evaluations by a physician or other qualified health care professional, with or without substantial re	2213577	2213577	90947		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90951	End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a	2213578	2213578	90951		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90952	End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physi	2213579	2213579	90952		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90953	End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physicia	2213580	2213580	90953		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90954	End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician	2213581	2213581	90954		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90955	End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or ot	2213582	2213582	90955		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90956	End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or other	2213583	2213583	90956		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90957	End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physicia	2213584	2213584	90957		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90958	End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or o	2213585	2213585	90958		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90959	End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or othe	2213586	2213586	90959		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90960	End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 4 or more face-to-face visits by a physician or other qualified health care professional per month	2213587	2213587	90960		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90961	End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 2-3 face-to-face visits by a physician or other qualified health care professional per month	2213588	2213588	90961		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90962	End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 1 face-to-face visit by a physician or other qualified health care professional per month	2213589	2213589	90962		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90963	End-stage renal disease (ESRD) related services for home dialysis per full month, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents	2213590	2213590	90963		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90964	End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents	2213591	2213591	90964		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90965	End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents	2213592	2213592	90965		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90966	End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 20 years of age and older	2213593	2213593	90966		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90967	End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients younger than 2 years of age	2213594	2213594	90967		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90968	End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 2-11 years of age	2213595	2213595	90968		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90969	End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 12-19 years of age	2213596	2213596	90969		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90970	End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 20 years of age and older	2213597	2213597	90970		CPT4	Observation	obsn.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	90999	Unlisted dialysis procedure, inpatient or outpatient	2213601	2213601	90999		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.cpt4	93990	Duplex scan of hemodialysis access (including arterial inflow, body of access and venous outflow)	2313999	2313999	93990		CPT4	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd10	3E1M39Z	Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach	2786488	2786488	3E1M39Z	Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach	ICD10PCS	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd9	38.95	Venous catheterization for renal dialysis	2002176	4289454	69380006	Venous catheterization for renal dialysis	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd9	39.27	Arteriovenostomy for renal dialysis	2002189	4197217	79827002	Arteriovenous anastomosis for renal dialysis	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd9	39.42	Revision of arteriovenous shunt for renal dialysis	2002208	4026915	225892009	Revision of arteriovenous shunt for renal dialysis	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd9	39.43	Removal of arteriovenous shunt for renal dialysis	2002209	4214705	39482009	Removal of arteriovenous shunt for renal dialysis	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd9	39.95	Hemodialysis	2002282	4120120	302497006	Hemodialysis	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_Dialysis.icd9	54.98	Peritoneal dialysis	2003564	4324124	71192002	Peritoneal dialysis	SNOMED	Procedure	proc.CkdEsrd_Dialysis.omop
proc.CkdEsrd_kidneyTransplant.cpt4	50360	Renal allotransplantation, implantation of graft; without recipient nephrectomy	2109586	2109586	50360		CPT4	Procedure	proc.CkdEsrd_kidneyTransplant.omop
proc.CkdEsrd_kidneyTransplant.cpt4	50365	Renal allotransplantation, implantation of graft; with recipient nephrectomy	2109587	2109587	50365		CPT4	Procedure	proc.CkdEsrd_kidneyTransplant.omop
proc.CkdEsrd_kidneyTransplant.cpt4	50380	Renal autotransplantation, reimplantation of kidney	2109589	2109589	50380		CPT4	Procedure	proc.CkdEsrd_kidneyTransplant.omop
proc.CkdEsrd_kidneyTransplant.icd10	0TY00Z0	Transplantation of Right Kidney, Allogeneic, Open Approach	2774517	2774517	0TY00Z0	Transplantation of Right Kidney, Allogeneic, Open Approach	ICD10PCS	Procedure	proc.CkdEsrd_kidneyTransplant.omop
